t,type,op,id,kind,source,target,layer,weight,label
2572,EDGE,add,"ny:0,0:12,26",,"px:0,0:12,26","px:0,0:12,27",next-y,1,
2573,NODE,add,"px:0,0:13,27",pixel,,,,0.05359477124183006,"12,12,17"
2574,EDGE,add,"nx:0,0:12,27",,"px:0,0:12,27","px:0,0:13,27",next-x,1,
2575,EDGE,add,"ny:0,0:13,26",,"px:0,0:13,26","px:0,0:13,27",next-y,1,
2576,NODE,add,"px:0,0:14,27",pixel,,,,0.05359477124183006,"12,12,17"
2577,EDGE,add,"nx:0,0:13,27",,"px:0,0:13,27","px:0,0:14,27",next-x,1,
2578,EDGE,add,"ny:0,0:14,26",,"px:0,0:14,26","px:0,0:14,27",next-y,1,
2579,NODE,add,"px:0,0:15,27",pixel,,,,0.05359477124183006,"12,12,17"
2580,EDGE,add,"nx:0,0:14,27",,"px:0,0:14,27","px:0,0:15,27",next-x,1,
2581,EDGE,add,"ny:0,0:15,26",,"px:0,0:15,26","px:0,0:15,27",next-y,1,
2582,NODE,add,"px:0,0:16,27",pixel,,,,0.05359477124183006,"12,12,17"
2583,EDGE,add,"nx:0,0:15,27",,"px:0,0:15,27","px:0,0:16,27",next-x,1,
2584,EDGE,add,"ny:0,0:16,26",,"px:0,0:16,26","px:0,0:16,27",next-y,1,
2585,NODE,add,"px:0,0:17,27",pixel,,,,0.05359477124183006,"12,12,17"
2586,EDGE,add,"nx:0,0:16,27",,"px:0,0:16,27","px:0,0:17,27",next-x,1,
2587,EDGE,add,"ny:0,0:17,26",,"px:0,0:17,26","px:0,0:17,27",next-y,1,
2588,NODE,add,"px:0,0:18,27",pixel,,,,0.05359477124183006,"12,12,17"
2589,EDGE,add,"nx:0,0:17,27",,"px:0,0:17,27","px:0,0:18,27",next-x,1,
2590,EDGE,add,"ny:0,0:18,26",,"px:0,0:18,26","px:0,0:18,27",next-y,1,
2591,NODE,add,"px:0,0:19,27",pixel,,,,0.05359477124183006,"12,12,17"
2592,EDGE,add,"nx:0,0:18,27",,"px:0,0:18,27","px:0,0:19,27",next-x,1,
2593,EDGE,add,"ny:0,0:19,26",,"px:0,0:19,26","px:0,0:19,27",next-y,1,
2594,NODE,add,"px:0,0:20,27",pixel,,,,0.05359477124183006,"12,12,17"
2595,EDGE,add,"nx:0,0:19,27",,"px:0,0:19,27","px:0,0:20,27",next-x,1,
2596,EDGE,add,"ny:0,0:20,26",,"px:0,0:20,26","px:0,0:20,27",next-y,1,
2597,NODE,add,"px:0,0:21,27",pixel,,,,0.05359477124183006,"12,12,17"
2598,EDGE,add,"nx:0,0:20,27",,"px:0,0:20,27","px:0,0:21,27",next-x,1,
