t,type,op,id,kind,source,target,layer,weight,label
3651,EDGE,add,"ny:900,3220:1,12",,"px:900,3220:1,12","px:900,3220:1,13",next-y,1,
3652,NODE,add,"px:900,3220:2,13",pixel,,,,0.5333333333333333,"34,221,153"
3653,EDGE,add,"nx:900,3220:1,13",,"px:900,3220:1,13","px:900,3220:2,13",next-x,1,
3654,EDGE,add,"ny:900,3220:2,12",,"px:900,3220:2,12","px:900,3220:2,13",next-y,1,
3655,NODE,add,"px:900,3220:3,13",pixel,,,,0.5228758169934641,"51,221,128"
3656,EDGE,add,"nx:900,3220:2,13",,"px:900,3220:2,13","px:900,3220:3,13",next-x,1,
3657,EDGE,add,"ny:900,3220:3,12",,"px:900,3220:3,12","px:900,3220:3,13",next-y,1,
3658,NODE,add,"px:900,3220:4,13",pixel,,,,0.5124183006535947,"68,221,103"
3659,EDGE,add,"nx:900,3220:3,13",,"px:900,3220:3,13","px:900,3220:4,13",next-x,1,
3660,EDGE,add,"ny:900,3220:4,12",,"px:900,3220:4,12","px:900,3220:4,13",next-y,1,
3661,NODE,add,"px:900,3220:5,13",pixel,,,,0.5032679738562091,"85,221,79"
3662,EDGE,add,"nx:900,3220:4,13",,"px:900,3220:4,13","px:900,3220:5,13",next-x,1,
3663,EDGE,add,"ny:900,3220:5,12",,"px:900,3220:5,12","px:900,3220:5,13",next-y,1,
3664,NODE,add,"px:900,3220:6,13",pixel,,,,0.49673202614379086,"102,221,57"
3665,EDGE,add,"nx:900,3220:5,13",,"px:900,3220:5,13","px:900,3220:6,13",next-x,1,
3666,EDGE,add,"ny:900,3220:6,12",,"px:900,3220:6,12","px:900,3220:6,13",next-y,1,
3667,NODE,add,"px:900,3220:7,13",pixel,,,,0.49411764705882355,"119,221,38"
3668,EDGE,add,"nx:900,3220:6,13",,"px:900,3220:6,13","px:900,3220:7,13",next-x,1,
3669,EDGE,add,"ny:900,3220:7,12",,"px:900,3220:7,12","px:900,3220:7,13",next-y,1,
3670,NODE,add,"px:900,3220:8,13",pixel,,,,0.49542483660130715,"136,221,22"
3671,EDGE,add,"nx:900,3220:7,13",,"px:900,3220:7,13","px:900,3220:8,13",next-x,1,
3672,EDGE,add,"ny:900,3220:8,12",,"px:900,3220:8,12","px:900,3220:8,13",next-y,1,
3673,NODE,add,"px:900,3220:9,13",pixel,,,,0.5032679738562091,"153,221,11"
3674,EDGE,add,"nx:900,3220:8,13",,"px:900,3220:8,13","px:900,3220:9,13",next-x,1,
3675,EDGE,add,"ny:900,3220:9,12",,"px:900,3220:9,12","px:900,3220:9,13",next-y,1,
3676,NODE,add,"px:900,3220:10,13",pixel,,,,0.5150326797385621,"170,221,3"
3677,EDGE,add,"nx:900,3220:9,13",,"px:900,3220:9,13","px:900,3220:10,13",next-x,1,
3678,EDGE,add,"ny:900,3220:10,12",,"px:900,3220:10,12","px:900,3220:10,13",next-y,1,
3679,NODE,add,"px:900,3220:11,13",pixel,,,,0.534640522875817,"187,221,1"
3680,EDGE,add,"nx:900,3220:10,13",,"px:900,3220:10,13","px:900,3220:11,13",next-x,1,
